comparison,objective_family,alpha,train_count,case_id,lhs_method,rhs_method,lhs_method_family,rhs_method_family,objective_difference_lhs_minus_rhs,objective_relative_difference_percent,runtime_difference_lhs_minus_rhs,runtime_ratio_lhs_over_rhs,mip_gap_difference_lhs_minus_rhs,test_expected_difference_lhs_minus_rhs,test_worst10_difference_lhs_minus_rhs
coverage_poly_vs_path_poly,CVaR,0.01,400,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,-13.09331226,0.5496338175,-0.00011662,0,0
coverage_exp_vs_path_exp,CVaR,0.01,400,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,36.97286064,3.614049946,7.865e-05,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,400,case03,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,-35.13748078,0.3126035288,-1.243e-05,0,0
path_poly_vs_path_exp,CVaR,0.01,400,case03,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,14.92869212,2.055486272,0.00018284,0,0
coverage_poly_vs_path_poly,CVaR,0.01,400,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,17.52869754,1.226102606,1.93e-06,0,0
coverage_exp_vs_path_exp,CVaR,0.01,400,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-149.004614,0.3517181661,-2.4e-07,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,400,case04,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,14.21329716,1.175818338,-2.54e-06,0,0
path_poly_vs_path_exp,CVaR,0.01,400,case04,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,-152.3200144,0.3372936877,-4.71e-06,0,0
coverage_poly_vs_path_poly,CVaR,0.01,800,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,0,0,-194.3106254,0.3348445871,-2.34e-06,0,0
coverage_exp_vs_path_exp,CVaR,0.01,800,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,5.7980747,1.04172307,1.52e-06,0,0
coverage_poly_vs_coverage_exp,CVaR,0.01,800,case00,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,0,0,-46.94621908,0.6757045972,-6e-07,0,0
path_poly_vs_path_exp,CVaR,0.01,800,case00,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,0,0,153.162481,2.102160509,3.26e-06,0,0
