instance_id,instance_type,objective_family,alpha,train_scenario_count,method_family,method,projected_llbi_family_reconstructed,projected_llbi_variant_reconstructed,runs,solved_to_optimality,time_limited_with_incumbent,failed_or_without_incumbent,status_counts,avg_objective_value,avg_best_bound,avg_mip_gap,avg_runtime,avg_train_expected_burned_area,avg_test_expected_burned_area,avg_train_worst10_burned_area,avg_test_worst10_burned_area,avg_lazy_benders_cuts_added,avg_root_user_cuts_added,avg_standard_llbi_cut_count,avg_projected_llbi_cut_count,avg_root_separation_time,avg_subproblem_solving_time,avg_combinatorial_cut_count
new20x20,shortest_path,Expected,0.01,200,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-LLBI-RootCuts,none,none,5,5,0,0,Optimal:5,131.701,131.676231,0.000190502,17.46118764,131.701,133.3774,283.4,286.306,1361.8,154.2,200,0,0,10.78961237,0
new20x20,shortest_path,Expected,0.01,200,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,5,0,0,Optimal:5,131.701,131.6608667,0.000308206,18.47361543,131.701,133.3774,283.4,286.306,1088.2,153.8,0,902.2,8.854696162,5.68948082,0
new20x20,shortest_path,Expected,0.01,200,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,path,exp,5,5,0,0,Optimal:5,131.701,131.701,0,11.37552389,131.701,133.3774,283.4,286.306,560.6,10.4,0,918.8,2.499107402,5.560180502,0
new20x20,shortest_path,Expected,0.01,200,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-RootCuts,none,none,5,5,0,0,Optimal:5,131.701,131.6228524,0.000573822,22.53959719,131.701,133.3774,283.4,286.306,3442.2,149.8,0,0,0,14.63642173,0
new20x20,shortest_path,Expected,0.01,200,FPP-SAA-fpp_base,FPP-SAA,none,none,5,5,0,0,Optimal:5,131.701,131.701,0,238.5662998,131.701,133.3774,283.4,286.306,0,0,0,0,0,0,0
new20x20,shortest_path,Expected,0.01,400,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,none,none,5,5,0,0,Optimal:5,132.979,132.9689799,7.4834e-05,54.80168082,132.979,133.2796,283.94,285.84,989.8,0,0,0,0,0,9183
new20x20,shortest_path,Expected,0.01,400,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-LLBI-RootCuts,none,none,5,5,0,0,Optimal:5,132.979,132.8951052,0.00062485,31.13541403,132.979,133.2796,283.94,285.84,2586.4,305.4,400,0,0,19.41934834,0
new20x20,shortest_path,Expected,0.01,400,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,5,0,0,Optimal:5,132.979,132.9412045,0.000290048,55.16649999,132.979,133.2796,283.94,285.84,3686.4,308,0,1000,22.85721153,18.47075694,0
new20x20,shortest_path,Expected,0.01,400,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,path,exp,5,5,0,0,Optimal:5,132.979,132.9328305,0.00034835,28.71613351,132.979,133.2796,283.94,285.84,2533.6,288.4,0,1000,2.699645394,16.38079325,0
new20x20,shortest_path,Expected,0.01,400,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-RootCuts,none,none,5,5,0,0,Optimal:5,132.979,132.9566367,0.00017056,35.91490176,132.979,133.2796,283.94,285.84,6505.4,300.6,0,0,0,23.39997479,0
new20x20,shortest_path,Expected,0.01,400,FPP-SAA-fpp_base,FPP-SAA,none,none,5,2,0,0,Feasible:3;Optimal:2,142.8945,132.091211,0.065602742,1461.9755,142.8945,141.9398,303.755,305.116,0,0,0,0,0,0,0
