source,task_id,alpha,case_id,objective_family,method,status,runtime_seconds,time_limit,objective,best_bound,reported_mip_gap,solver_mip_gap,calculated_gap,gap_excluded_reason
previous,worker_02_task_034,0.01,case01,MeanCVaR,FPP-Branch-Benders-CoverageLLBI,Feasible,300.56980041,300,174.72,169.36992840,0.001,,0.03062083104,
previous,worker_02_task_038,0.01,case01,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,302.86267952,300,243.82,-999999999999999926539781176481198923508803215199467887262646419780362305536.00000000,0.001,,,invalid_best_bound_sentinel
previous,worker_02_task_039,0.01,case01,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,302.26761153,300,174.72,164.73298815,0.001,,0.0571600953,
previous,worker_02_task_035,0.01,case01,MeanCVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,Feasible,300.67908073,300,174.72,166.42122161,0.001,,0.04749758694,
previous,worker_02_task_032,0.01,case01,MeanCVaR,FPP-Branch-Benders-LLBI,Optimal,5.05741985,300,174.72,174.55598650,0.001,,0.0009387219551,
previous,worker_02_task_040,0.01,case01,MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,301.28750190,300,174.72,165.25142208,0.001,,0.05419286813,
previous,worker_02_task_041,0.01,case01,MeanCVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,302.33880636,300,174.72,165.25142208,0.001,,0.05419286813,
previous,worker_02_task_033,0.01,case01,MeanCVaR,FPP-Branch-Benders-LLBI-RootCuts,Optimal,4.83285348,300,174.72,174.55669571,0.001,,0.000934662832,
previous,worker_02_task_036,0.01,case01,MeanCVaR,FPP-Branch-Benders-PathLLBI,Optimal,266.95097431,300,174.72,174.57506765,0.001,,0.0008295120765,
previous,worker_02_task_037,0.01,case01,MeanCVaR,FPP-Branch-Benders-PathLLBI-RootCuts,Feasible,301.04197009,300,174.72,170.64634618,0.001,,0.02331532635,
previous,worker_02_task_031,0.01,case01,MeanCVaR,FPP-Branch-Benders-RootCuts,Optimal,3.63836338,300,174.72,174.54578180,0.001,,0.0009971279762,
previous,worker_02_task_044,0.01,case01,MeanCVaR,FPP-Branch-Benders-Combinatorial,Optimal,61.13958915,300,174.72,174.58231841,0.001,,0.0007880127633,
previous,worker_02_task_004,0.01,case01,MeanCVaR,FPP-SAA-fpp_base,Optimal,94.27746717,300,174.72,174.56922499,0.001,,0.0008629522092,
previous,worker_02_task_005,0.01,case01,MeanCVaR,FPP-SAA-fpp_cut,Feasible,300.02331640,300,174.72,171.63852152,0.001,,0.01763666712,
previous,worker_03_task_018,0.02,case01,CVaR,FPP-Branch-Benders,Feasible,300.27810602,300,179,156.28462168,0.001,,0.1269015549,
previous,worker_03_task_022,0.02,case01,CVaR,FPP-Branch-Benders-CoverageLLBI,Feasible,301.47811982,300,181.9,142.40471945,0.001,,0.2171263362,
previous,worker_03_task_026,0.02,case01,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Feasible,301.63467401,300,331,-999999999999999926539781176481198923508803215199467887262646419780362305536.00000000,0.001,,,invalid_best_bound_sentinel
previous,worker_03_task_027,0.02,case01,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Feasible,302.84621769,300,184.4,140.48929716,0.001,,0.2381274557,
previous,worker_03_task_023,0.02,case01,CVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,Feasible,301.46018203,300,175.6,142.66326832,0.001,,0.1875668091,
previous,worker_03_task_020,0.02,case01,CVaR,FPP-Branch-Benders-LLBI,Feasible,300.42131717,300,175.6,160.36704843,0.001,,0.08674801577,
previous,worker_03_task_028,0.02,case01,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Feasible,303.50868670,300,181.9,141.04026697,0.001,,0.2246274493,
previous,worker_03_task_029,0.02,case01,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Feasible,301.29396666,300,181.9,143.10851189,0.001,,0.2132572189,
previous,worker_03_task_021,0.02,case01,CVaR,FPP-Branch-Benders-LLBI-RootCuts,Feasible,300.56732847,300,175.3,161.20310322,0.001,,0.08041584016,
previous,worker_03_task_024,0.02,case01,CVaR,FPP-Branch-Benders-PathLLBI,Feasible,301.11710222,300,184.7,143.23471952,0.001,,0.2245007064,
previous,worker_03_task_025,0.02,case01,CVaR,FPP-Branch-Benders-PathLLBI-RootCuts,Feasible,301.86695554,300,184.7,143.23471952,0.001,,0.2245007064,
